年份,轮次,处理,Block,重复,干重(g)
2019,牧前,轻牧（3天）,G6,1,25.41
2019,牧前,轻牧（3天）,G6,1,0.64
2019,牧前,轻牧（3天）,G6,1,0.99
2019,牧前,轻牧（3天）,G6,1,1.25
2019,牧前,轻牧（3天）,G6,1,0.3
2019,牧前,轻牧（3天）,G6,1,0.22
2019,牧前,轻牧（3天）,G6,2,6.13
2019,牧前,轻牧（3天）,G6,2,1.97
2019,牧前,轻牧（3天）,G6,2,0.12
2019,牧前,轻牧（3天）,G6,2,4.87
2019,牧前,轻牧（3天）,G6,2,10
2019,牧前,轻牧（3天）,G6,2,0.28
2019,牧前,轻牧（3天）,G6,2,0.01
2019,牧前,轻牧（3天）,G6,3,6.89
2019,牧前,轻牧（3天）,G6,3,11.38
2019,牧前,轻牧（3天）,G6,3,0.27
2019,牧前,轻牧（3天）,G6,3,0.4
2019,牧前,轻牧（3天）,G6,3,0.35
2019,牧前,轻牧（3天）,G6,3,1.67
2019,牧前,轻牧（3天）,G6,3,0.09
2019,牧前,轻牧（3天）,G6,3,0.11
2019,牧前,轻牧（3天）,G6,4,15.71
2019,牧前,轻牧（3天）,G6,4,2
2019,牧前,轻牧（3天）,G6,4,1.73
2019,牧前,轻牧（3天）,G6,4,6.76
2019,牧前,轻牧（3天）,G6,4,0.14
2019,牧前,轻牧（3天）,G6,5,8.16
2019,牧前,轻牧（3天）,G6,5,2.38
2019,牧前,轻牧（3天）,G6,5,0.1
2019,牧前,轻牧（3天）,G6,5,0.48
2019,牧前,轻牧（3天）,G6,5,0.19
2019,牧前,轻牧（3天）,G6,5,3.49
2019,牧前,中牧（6天）,G8,1,18.13
2019,牧前,中牧（6天）,G8,1,0.02
2019,牧前,中牧（6天）,G8,1,0.01
2019,牧前,中牧（6天）,G8,1,0.81
2019,牧前,中牧（6天）,G8,1,0.18
2019,牧前,中牧（6天）,G8,2,20.18
2019,牧前,中牧（6天）,G8,2,0.86
2019,牧前,中牧（6天）,G8,2,0.13
2019,牧前,中牧（6天）,G8,3,14.14
2019,牧前,中牧（6天）,G8,3,0.94
2019,牧前,中牧（6天）,G8,3,2.96
2019,牧前,中牧（6天）,G8,3,0.12
2019,牧前,中牧（6天）,G8,4,10.96
2019,牧前,中牧（6天）,G8,4,0.2
2019,牧前,中牧（6天）,G8,4,0.05
2019,牧前,中牧（6天）,G8,5,13.97
2019,牧前,中牧（6天）,G8,5,0.46
2019,牧前,中牧（6天）,G8,5,1.15
2019,牧前,中牧（6天）,G8,5,0.46
2019,牧前,重牧（12天）,G9,1,13.82
2019,牧前,重牧（12天）,G9,1,1.78
2019,牧前,重牧（12天）,G9,1,1.37
2019,牧前,重牧（12天）,G9,2,17.1
2019,牧前,重牧（12天）,G9,2,0.38
2019,牧前,重牧（12天）,G9,2,1.22
2019,牧前,重牧（12天）,G9,2,0.97
2019,牧前,重牧（12天）,G9,3,31.12
2019,牧前,重牧（12天）,G9,3,0.53
2019,牧前,重牧（12天）,G9,3,0.65
2019,牧前,重牧（12天）,G9,3,0.15
2019,牧前,重牧（12天）,G9,4,10.36
2019,牧前,重牧（12天）,G9,4,2.22
2019,牧前,重牧（12天）,G9,4,0.01
2019,牧前,重牧（12天）,G9,4,0.01
2019,牧前,重牧（12天）,G9,4,0.09
2019,牧前,重牧（12天）,G9,4,0.08
2019,牧前,重牧（12天）,G9,5,17.17
2019,牧前,重牧（12天）,G9,5,1.42
2019,牧前,重牧（12天）,G9,5,0.26
2019,牧前,重牧（12天）,G9,5,0.46
2019,牧前,中牧（6天）,G11,1,19.79
2019,牧前,中牧（6天）,G11,1,1.84
2019,牧前,中牧（6天）,G11,1,1.77
2019,牧前,中牧（6天）,G11,2,19.12
2019,牧前,中牧（6天）,G11,2,1.84
2019,牧前,中牧（6天）,G11,2,4.58
2019,牧前,中牧（6天）,G11,2,0.22
2019,牧前,中牧（6天）,G11,3,12.23
2019,牧前,中牧（6天）,G11,3,0.24
2019,牧前,中牧（6天）,G11,3,0.16
2019,牧前,中牧（6天）,G11,3,4.71
2019,牧前,中牧（6天）,G11,4,3.76
2019,牧前,中牧（6天）,G11,4,13.07
2019,牧前,中牧（6天）,G11,4,13.55
2019,牧前,中牧（6天）,G11,4,0.19
2019,牧前,中牧（6天）,G11,4,1.02
2019,牧前,中牧（6天）,G11,5,23.81
2019,牧前,中牧（6天）,G11,5,0.27
2019,牧前,中牧（6天）,G11,5,1.41
2019,牧前,中牧（6天）,G11,5,3.21
2019,牧前,轻牧（3天）,G12,1,2.01
2019,牧前,轻牧（3天）,G12,1,4.86
2019,牧前,轻牧（3天）,G12,1,5.5
2019,牧前,轻牧（3天）,G12,2,13.89
2019,牧前,轻牧（3天）,G12,2,0.84
2019,牧前,轻牧（3天）,G12,2,4.63
2019,牧前,轻牧（3天）,G12,2,0.09
2019,牧前,轻牧（3天）,G12,3,2.35
2019,牧前,轻牧（3天）,G12,3,17.94
2019,牧前,轻牧（3天）,G12,3,1.32
2019,牧前,轻牧（3天）,G12,3,0.1
2019,牧前,轻牧（3天）,G12,3,0.21
2019,牧前,轻牧（3天）,G12,4,15.11
2019,牧前,轻牧（3天）,G12,4,3.27
2019,牧前,轻牧（3天）,G12,4,8.94
2019,牧前,轻牧（3天）,G12,4,0.18
2019,牧前,轻牧（3天）,G12,5,4.49
2019,牧前,轻牧（3天）,G12,5,16.94
2019,牧前,轻牧（3天）,G12,5,0.56
2019,牧前,重牧（12天）,G13,1,11.21
2019,牧前,重牧（12天）,G13,1,0.8
2019,牧前,重牧（12天）,G13,1,2.68
2019,牧前,重牧（12天）,G13,1,0.07
2019,牧前,重牧（12天）,G13,1,0.01
2019,牧前,重牧（12天）,G13,2,11.33
2019,牧前,重牧（12天）,G13,2,2.2
2019,牧前,重牧（12天）,G13,2,0.01
2019,牧前,重牧（12天）,G13,2,0.11
2019,牧前,重牧（12天）,G13,2,0.05
2019,牧前,重牧（12天）,G13,3,6.01
2019,牧前,重牧（12天）,G13,3,2.28
2019,牧前,重牧（12天）,G13,3,0.99
2019,牧前,重牧（12天）,G13,3,1.12
2019,牧前,重牧（12天）,G13,3,0.01
2019,牧前,重牧（12天）,G13,4,18.74
2019,牧前,重牧（12天）,G13,4,0.25
2019,牧前,重牧（12天）,G13,4,0.04
2019,牧前,重牧（12天）,G13,4,2.44
2019,牧前,重牧（12天）,G13,4,0.35
2019,牧前,重牧（12天）,G13,5,10.54
2019,牧前,重牧（12天）,G13,5,0.29
2019,牧前,重牧（12天）,G13,5,0.3
2019,牧前,重牧（12天）,G13,5,0.07
2019,牧前,中牧（6天）,G16,1,5.4
