年份,月份,降水量(mm),土壤蒸发量(mm),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2012,1,2.29,0.61,13.73,30.87,42.79,168.56
2012,2,2.29,0.86,13.0,30.87,42.79,168.56
2012,3,21.84,1.91,12.6,30.87,42.79,168.56
2012,4,6.1,7.2,11.97,30.73,42.76,168.56
2012,5,50.8,18.1,14.18,29.99,42.58,168.56
2012,6,98.81,33.53,19.28,39.52,43.01,168.56
2012,7,183.39,31.48,19.64,55.47,54.9,168.53
2012,8,62.23,14.27,15.76,44.94,61.25,168.44
2012,9,62.74,13.36,17.12,45.67,55.29,168.38
2012,10,16.51,8.13,15.04,42.49,54.69,168.33
2012,11,30.48,0.92,14.79,42.71,55.02,168.32
2012,12,5.59,0.34,14.42,42.71,55.02,168.32
2013,1,3.3,0.4,14.09,42.71,55.02,168.32
2013,2,2.79,0.78,13.55,42.71,55.02,168.32
2013,3,9.14,3.37,12.85,42.7,55.02,168.32
2013,4,19.56,4.99,11.82,42.6,54.96,168.32
2013,5,11.18,12.45,12.73,40.66,54.08,168.32
2013,6,65.53,38.54,19.25,48.64,54.08,168.29
2013,7,101.35,39.26,20.34,54.64,62.91,168.22
2013,8,68.07,21.73,17.61,48.09,60.95,168.11
2013,9,7.37,9.51,14.49,38.27,55.29,168.04
2013,10,5.59,5.9,13.56,35.33,52.83,168.0
2013,11,3.56,2.03,11.92,35.23,52.75,167.97
2013,12,4.57,0.4,10.98,35.22,52.76,167.96
2014,1,30.73,0.67,10.55,35.22,52.76,167.96
2014,2,2.54,0.42,9.97,35.22,52.76,167.96
2014,3,2.54,14.46,13.96,36.19,52.75,167.96
2014,4,5.84,20.12,15.5,42.33,52.56,167.96
2014,5,62.48,25.29,16.73,41.97,52.24,167.96
2014,6,66.04,28.85,18.29,49.67,53.89,167.92
2014,7,63.5,23.14,16.7,44.67,55.34,167.88
2014,8,27.94,11.07,14.85,35.53,49.35,167.83
2014,9,23.37,5.32,12.84,29.71,45.27,167.79
2014,10,34.29,8.8,14.98,33.74,44.44,167.75
2014,11,1.02,3.9,13.72,35.79,44.52,167.72
2014,12,5.33,0.73,11.73,35.81,44.52,167.72
2015,1,153.16,0.46,11.17,35.81,44.52,167.72
2015,2,34.8,0.56,10.77,35.81,44.52,167.72
2015,3,0.51,1.54,9.93,35.79,44.52,167.72
2015,4,36.58,12.64,15.31,35.63,44.48,167.72
2015,5,45.97,16.06,14.55,34.71,44.27,167.72
2015,6,143.0,21.54,16.82,39.39,44.18,167.7
2015,7,76.71,18.79,17.13,42.8,44.62,167.65
2015,8,46.48,11.11,15.47,38.95,44.45,167.61
2015,9,48.77,12.5,17.31,39.19,43.57,167.58
2015,10,16.0,10.17,15.55,46.53,46.3,167.56
2015,11,156.97,2.03,14.55,44.55,47.79,167.53
2015,12,270.0,0.65,14.73,44.44,47.89,167.53
2016,1,4.32,0.63,14.11,44.44,47.89,167.53
2016,2,9.65,0.95,13.34,44.44,47.89,167.53
2016,3,93.47,2.76,12.26,44.43,47.89,167.53
2016,4,6.1,4.47,11.05,44.07,47.82,167.53
2016,5,16.76,23.75,15.43,42.39,47.5,167.53
2016,6,77.72,24.91,17.0,43.5,47.6,167.5
2016,7,51.31,22.05,17.33,45.2,48.39,167.46
2016,8,54.36,6.89,12.85,33.21,45.51,167.42
2016,9,30.48,9.83,16.22,33.22,43.44,167.39
2016,10,57.15,9.8,17.79,46.72,44.77,167.38
2016,11,44.45,6.01,16.33,46.76,45.86,167.37
2016,12,481.33,1.46,13.25,46.76,45.86,167.37
2017,1,891.79,0.67,12.48,46.76,45.86,167.37
2017,2,202.44,1.04,11.71,46.76,45.86,167.37
2017,3,8.38,2.15,11.1,46.75,45.86,167.37
2017,4,6.6,4.1,11.06,46.28,45.81,167.37
2017,5,6.6,8.55,11.81,43.85,45.61,167.37
2017,6,39.88,10.7,13.29,38.16,45.5,167.33
2017,7,36.58,14.58,15.33,36.15,44.29,167.29
2017,8,56.64,11.84,16.83,38.47,43.26,167.28
2017,9,12.19,6.85,14.24,35.2,42.71,167.28
2017,10,10.92,4.37,13.52,33.85,42.53,167.28
2017,11,207.52,1.99,12.13,34.05,42.64,167.28
2017,12,205.49,0.73,11.21,34.05,42.65,167.28
2018,1,414.02,0.45,10.69,34.05,42.65,167.28
2018,2,298.7,0.45,10.26,34.05,42.65,167.28
2018,3,29.72,1.23,9.75,34.02,42.65,167.28
2018,4,19.56,12.76,14.55,33.84,42.62,167.28
2018,5,20.83,12.66,13.94,33.22,42.49,167.28
2018,6,19.56,16.37,15.68,35.17,42.36,167.28
2018,7,95.76,27.6,19.66,49.55,45.46,167.27
2018,8,50.8,15.7,19.01,52.52,57.18,167.23
2018,9,61.47,13.17,18.27,49.75,60.56,167.15
2018,10,24.64,6.53,14.81,48.14,62.59,167.07
2018,11,236.73,1.98,12.47,46.1,63.66,167.03
2018,12,0.0,1.22,11.08,46.07,63.68,167.03
2019,1,0.51,0.79,10.27,46.07,63.68,167.03
2019,2,184.4,0.32,9.64,46.07,63.68,167.03
2019,3,2.79,1.28,10.02,46.05,63.66,167.03
2019,4,5.84,5.0,11.22,45.67,63.41,167.03
2019,5,30.23,22.68,15.88,44.71,62.31,167.02
2019,6,64.77,21.56,16.75,43.84,60.77,166.95
2019,7,59.18,20.25,17.25,45.0,57.97,166.86
2019,8,113.54,15.29,17.39,40.65,52.05,166.81
2019,9,16.51,4.85,12.68,37.3,48.82,166.76
2019,10,28.45,5.05,13.99,32.99,47.08,166.72
2019,11,5.33,3.05,13.89,33.78,47.06,166.7
2019,12,20.57,0.56,12.59,33.85,47.07,166.7
2020,1,4.06,0.36,12.21,33.85,47.07,166.7
2020,2,8.64,0.63,11.86,33.85,47.07,166.7
2020,3,4.32,2.78,11.95,33.84,47.07,166.7
2020,4,10.67,10.89,13.73,33.65,46.99,166.7
2020,5,39.12,21.31,16.51,34.02,46.68,166.7
2020,6,35.81,24.06,17.01,40.0,46.43,166.67
2020,7,171.96,32.37,21.31,56.6,54.24,166.62
2020,8,83.31,24.66,20.79,56.63,68.52,166.51
2020,9,25.65,17.58,20.04,56.67,76.04,166.32
2020,10,5.84,11.99,16.59,52.88,80.84,166.09
2020,11,5.08,2.52,15.04,50.66,82.25,165.95
2020,12,2.29,1.51,16.51,50.4,82.44,165.92
2021,1,4.57,1.13,15.17,50.4,82.44,165.92
2021,2,240.03,1.53,13.93,50.4,82.44,165.92
2021,3,118.62,7.5,14.37,50.38,82.43,165.92
2021,4,10.67,11.14,14.18,49.84,81.94,165.92
2021,5,17.78,16.38,14.77,47.77,79.86,165.91
2021,6,52.07,25.57,17.66,47.63,76.28,165.71
2021,7,134.37,30.88,22.1,61.7,85.27,165.46
2021,8,37.34,19.25,20.36,56.11,85.64,165.15
2021,9,65.53,17.94,21.01,59.26,87.32,164.85
2021,10,4.83,10.48,16.93,54.84,92.52,164.59
2021,11,530.86,1.44,13.91,52.17,93.43,164.49
2021,12,193.8,0.93,13.14,52.14,93.45,164.48
2022,1,607.31,0.44,12.45,52.14,93.45,164.48
2022,2,796.04,0.27,12.1,52.14,93.45,164.48
2022,3,115.57,5.98,14.96,52.13,93.44,164.48
